time,cars
1,410
2,400
3,440
4,346
5,375
6,347
7,332
8,412
9,314
10,378
11,449
12,347
13,331
14,339
15,369
16,318
17,559
18,601
19,831
20,948
21,1008
22,962
23,719
24,593
1,336
2,317
3,367
4,346
5,358
6,371
7,318
8,406
9,443
10,321
11,382
12,402
13,414
14,318
15,411
16,354
17,564
18,688
19,885
20,916
21,990
22,1049
23,747
24,513
1,445
2,417
3,423
4,311
5,380
6,323
7,366
8,330
9,351
10,374
11,351
12,304
13,313
14,381
15,370
16,430
17,523
18,657
19,822
20,946
21,983
22,1015
23,711
24,516
1,397
2,394
3,372
4,419
5,412
6,406
7,329
8,391
9,397
10,422
11,319
12,398
13,446
14,344
15,381
16,450
17,500
18,688
19,868
20,950
21,950
22,964
23,748
24,597
1,391
2,399
3,355
4,311
5,308
6,446
7,416
8,353
9,310
10,342
11,319
12,367
13,427
14,432
15,369
16,324
17,551
18,650
19,837
20,964
21,1007
22,1083
23,707
24,526
1,422
2,41
3,435
4,400
5,378
6,321
7,334
8,387
9,306
10,395
11,324
12,323
13,450
14,309
15,317
16,364
17,553
18,626
19,858
20,1000
21,1017
22,1029
23,746
24,551
1,314
2,391
3,323
4,347
5,312
6,398
7,319
8,363
9,350
10,446
11,430
12,310
13,351
14,306
15,432
16,384
17,551
18,678
19,856
20,948
21,1047
22,1034
23,717
24,585
1,302
2,330
3,348
4,390
5,319
6,436
7,313
8,383
9,365
10,420
11,370
12,411
13,433
14,333
15,370
16,422
17,556
18,604
19,883
20,969
21,984
22,1079
23,745
24,587
1,430
2,379
3,338
4,397
5,415
6,442
7,334
8,397
9,313
10,415
11,377
12,359
13,311
14,324
15,400
16,321
17,529
18,685
19,869
20,977
21,990
22,969
23,714
24,522
1,338
2,380
3,441
4,322
5,332
6,434
7,320
8,432
9,312
10,346
11,413
12,351
13,300
14,435
15,433
16,403
17,538
18,662
19,818
20,929
21,1022
22,1010
23,722
24,566
1,382
2,417
3,357
4,439
5,344
6,301
7,372
8,390
9,333
10,408
11,303
12,447
13,447
14,400
15,305
16,363
17,506
18,650
19,886
20,917
21,974
22,975
23,724
24,538
1,342
2,344
3,317
4,337
5,405
6,408
7,438
8,394
9,302
10,342
11,326
12,394
13,354
14,438
15,369
16,420
17,558
18,673
19,853
20,961
21,976
22,1084
23,780
24,575
1,337
2,382
3,307
4,365
5,447
6,436
7,352
8,346
9,413
10,403
11,302
12,443
13,321
14,345
15,402
16,423
17,581
18,700
19,835
20,920
21,1002
22,1089
23,710
24,500
1,349
2,352
3,308
4,398
5,405
6,399
7,308
8,391
9,345
10,417
11,409
12,339
13,373
14,407
15,445
16,363
17,567
18,604
19,834
20,979
21,1009
22,954
23,755
24,548
1,300
2,439
3,420
4,312
5,379
6,384
7,422
8,355
9,319
10,309
11,445
12,344
13,375
14,369
15,439
16,328
17,537
18,603
19,879
20,909
21,1041
22,1056
23,759
24,581
1,352
2,313
3,447
4,328
5,362
6,311
7,398
8,315
9,338
10,391
11,352
12,370
13,342
14,354
15,360
16,422
17,595
18,673
19,831
20,915
21,980
22,1009
23,746
24,558
1,343
2,413
3,380
4,426
5,367
6,324
7,380
8,360
9,443
10,435
11,313
12,321
13,404
14,400
15,421
16,432
17,599
18,651
19,845
20,978
21,958
22,1084
23,780
24,555
1,331
2,326
3,397
4,375
5,306
6,400
7,374
8,370
9,393
10,336
11,375
12,430
13,320
14,349
15,365
16,336
17,521
18,690
19,883
20,972
21,1024
22,1085
23,708
24,529
1,367
2,387
3,310
4,350
5,322
6,364
7,389
8,381
9,373
10,374
11,365
12,415
13,376
14,374
15,319
16,347
17,503
18,675
19,828
20,953
21,1035
22,962
23,711
24,586
1,421
2,422
3,426
4,373
5,397
6,392
7,386
8,391
9,335
10,334
11,306
12,406
13,376
14,449
15,340
16,328
17,596
18,601
19,802
20,949
21,1048
22,1060
23,739
24,575
1,441
2,445
3,375
4,430
5,378
6,395
7,407
8,394
9,330
10,396
11,362
12,360
13,382
14,335
15,418
16,360
17,540
18,686
19,820
20,956
21,1014
22,1028
23,717
24,540
1,427
2,403
3,378
4,391
5,352
6,426
7,397
8,333
9,323
10,444
11,356
12,442
13,381
14,419
15,413
16,307
17,550
18,651
19,883
20,913
21,1005
22,1092
23,796
24,545
1,429
2,378
3,430
4,330
5,358
6,408
7,415
8,402
9,434
10,393
11,401
12,328
13,346
14,410
15,400
16,443
17,579
18,609
19,820
20,970
21,1032
22,1098
23,747
24,512
1,437
2,410
3,358
4,335
5,317
6,338
